Density 0.1,Density 0.2,Density 0.3
-0.01280095812818127,-0.005806044298744743,-0.008069921556451554
-0.014654870412267054,9.103831134969039e-05,-0.010708328761937244
-0.00979066296201929,-0.0026045546411146343,-0.00925907834242261
-0.023121210293718827,-0.004742274377264693,-0.00850662561165285
-0.02654797988830691,-0.007127314193379225,-0.010138611528561456
-0.026049115371300717,-0.0007021165117879614,-0.009969433640776291
-0.018577276679822317,-0.008622889060078697,-0.007707234768980312
-0.030661030133111358,-0.007462397472005006,-0.005303714767391973
-0.03634274543512998,-0.009210208014752183,-0.002164835410728652
-0.031806436963707135,-0.011814822668826911,-0.0017045970156876076
-0.022633716053303544,-0.01142993978625915,-0.00466803110761413
-0.03266467808039262,-0.012984584169272,-0.007314090870076267
-0.02856030538700216,-0.009352885886877368,-0.0016480203748610906
-0.031300327041423034,-0.005689706443229843,-0.009642966220819017
-0.024397658133969265,-0.00796829133850015,-0.006246479166491852
-0.01971443126266787,-0.011673247762592842,-0.006737718248727894
-0.01328134755615773,-0.009319241997768284,-0.0076270745430026795
-0.013972997004919262,-0.007197029272129769,-0.010319632332838434
-0.004780978118957302,-0.011398997984891643,-0.010912776811708245
-0.007517535211319855,-0.0071066619806330975,-0.009039097451410929
-0.018873622828242998,-0.00829184529325386,-0.010838079945401343
-0.00663399488678037,-0.0022606627534361235,-0.007824064508596388
-0.007503635227872912,-0.0065963203865691995,-0.0044957720749561605
-0.005556366512540237,-0.008559058257622721,-0.008892765386155058
-0.01182569102891815,-0.007982727540036061,-0.008892925444744114
-0.002237697159801652,-0.006739111039093347,-0.00589320666963266
-0.016625016243144976,-0.006947904797167833,-0.006880915414040235
-0.008497939614229136,-0.0011872509701067386,-0.011408769833638067
-0.017864233398642217,-0.0035774221796864925,-0.01062789467421764
-0.01720686329232109,-0.0015711726774249465,-0.009321707125796698
-0.0228124279848572,0.0014541739632261434,-0.008922030211705685
-0.024669154261951435,0.0035491184453244977,-0.004810698826211643
-0.02406698443459913,0.003685751690399159,-0.001272464342140734
-0.022568537235910624,0.0019394158296680989,-0.00419306014539464
-0.024127947334861063,-0.005988055320746263,-0.004833584320827381
-0.0034866705731897833,-0.0033952626599570795,-0.004985763902587739
-0.006585169313071649,-2.9150824018603135e-05,-0.009501851931166275
-0.011867730135519533,-0.0018285081656714732,-0.008747124900689471
-0.00602974290940167,-0.0009964416947899051,-0.008780488896116496
0.0023206373374425647,-0.001939032657129971,-0.008116868930739062
-0.005812179985188721,-0.006566088219520231,-0.006534269765586802
-0.0018195892214963316,-0.007090685942997079,-0.009114525213470677
0.0031428040361270327,-0.003347988372373913,-0.005976961051616325
0.004576038760856872,-0.008577851260496084,-0.004949403703383223
0.006410346090429417,-0.004496443086518808,-0.005229156656631443
-0.012282204841728712,-0.007244782123291153,-0.004599913557399715
-0.009762132681582865,-0.008552872109155443,-0.0018997910466435335
-0.011470619623333256,-0.010503613452772368,-0.0023043395853414193
0.00911025692601941,-0.010645456761123648,-0.0035528468847519593
0.008312567493484647,-0.007367375204209874,-0.004721282236431796
0.0045607222466647465,-0.003899887435985051,-0.00696660985040497
0.0040004508947070775,-0.008130817994216227,-0.008389462529463106
0.0014939856898537388,-0.0053541333432146855,-0.009001010868777762
0.01826111563449255,-0.00362908800411263,-0.008616540063726294
0.03194406030495616,-0.006619834641316706,-0.008835372123371012
0.019179380117033146,-0.0037609168969507637,-0.007581672165144497
0.00622320869358701,-0.0054093215029283005,-0.0058334174496444844
-0.004165893482978397,-0.004572047484150102,-0.005076172568115233
0.0038766082950715108,-0.004996118585685211,-0.005322196319901123
-0.007062154183921067,-0.002115878876688874,-0.007238445359576936
-0.006398268334917499,-0.007996821189854569,-0.00773112933075559
